    #parametro     lambda_01     lambda_02     lambda_03
      3.299000     -0.000003     -1.270055     -9.028942
      3.299125      0.000155     -1.265400     -9.033881
      3.299250     -0.000307     -1.262489     -9.036454
      3.299375     -0.000145     -1.255222     -9.044008
      3.299500     -0.000661     -1.253178     -9.045661
      3.299625      0.000148     -1.245466     -9.054307
      3.299750      0.000515     -1.241191     -9.059074
      3.299875      0.000140     -1.236811     -9.063204
      3.300000      0.000410     -1.233507     -9.066903
      3.300125      0.000193     -1.230141     -9.070177
      3.300250      0.000915     -1.225507     -9.075657
      3.300375     -0.001034     -1.221866     -9.077475
      3.300500      0.000377     -1.214464     -9.086413
      3.300625     -0.000497     -1.212447     -9.087681
      3.300750      0.000370     -1.207549     -9.093571
      3.300875     -0.000404     -1.204189     -9.096282
      3.301000     -0.000623     -1.198018     -9.102359
      3.301125      0.000137     -1.195049     -9.106214
      3.301250      0.000909     -1.189287     -9.112872
      3.301375      0.000399     -1.184400     -9.117375
      3.301500     -0.000536     -1.182700     -9.118264
      3.301625     -0.000333     -1.178137     -9.123156
      3.301750      0.000264     -1.173708     -9.128306
      3.301875      0.001212     -1.169326     -9.133761
      3.302000      0.001290     -1.164779     -9.138511
      3.302125     -0.000508     -1.160989     -9.140629
      3.302250     -0.000208     -1.157278     -9.144764
      3.302375      0.000187     -1.152927     -9.149634
      3.302500      0.000305     -1.148140     -9.154665
      3.302625      0.000020     -1.144525     -9.158121
      3.302750     -0.000091     -1.140398     -9.162261
      3.302875     -0.000118     -1.136350     -9.166408
      3.303000     -0.000498     -1.132135     -9.170368
      3.303125     -0.000391     -1.128474     -9.174260
      3.303250     -0.000902     -1.125402     -9.176946
      3.303375      0.000602     -1.120056     -9.183921
      3.303500      0.000427     -1.118377     -9.185550
      3.303625     -0.000019     -1.112128     -9.191478
      3.303750     -0.000341     -1.108164     -9.195246
      3.303875      0.000337     -1.106707     -9.197505
      3.304000      0.000650     -1.099960     -9.204690
      3.304125      0.000489     -1.096203     -9.208411
      3.304250      0.000162     -1.092502     -9.211911
      3.304375     -0.000638     -1.089187     -9.214550
      3.304500      0.000796     -1.086243     -9.219053
      3.304625     -0.000695     -1.083370     -9.220560
      3.304750      0.000291     -1.076604     -9.228436
      3.304875      0.000234     -1.073020     -9.232088
      3.305000     -0.000272     -1.069192     -9.235537
      3.305125     -0.000369     -1.065240     -9.239515
      3.305250     -0.000560     -1.061623     -9.243067
      3.305375     -0.000787     -1.058282     -9.246306
      3.305500     -0.000666     -1.055535     -9.249299
      3.305625      0.000101     -1.052285     -9.253441
      3.305750      0.000232     -1.048720     -9.257262
      3.305875      0.000203     -1.045059     -9.261020
      3.306000      0.000196     -1.041494     -9.264702
      3.306125      0.000127     -1.037948     -9.268304
      3.306250      0.000009     -1.034394     -9.271865
      3.306375     -0.000007     -1.030891     -9.275476
      3.306500     -0.000009     -1.025087     -9.281404
      3.306625      0.000006     -1.023694     -9.282936
      3.306750     -0.001064     -1.018174     -9.287512
      3.306875     -0.000002     -1.016944     -9.289929
      3.307000      0.000136     -1.010627     -9.296509
      3.307125      0.000092     -1.007751     -9.299465
      3.307250      0.000427     -1.006179     -9.301498
      3.307375     -0.000243     -1.000559     -9.306573
      3.307500     -0.000027     -0.998458     -9.309016
      3.307625     -0.000265     -0.995611     -9.311749
      3.307750      0.000484     -0.991051     -9.317183
      3.307875     -0.000629     -0.988450     -9.318796
      3.308000     -0.000640     -0.984711     -9.322648
      3.308125     -0.000374     -0.980900     -9.326851
      3.308250     -0.000558     -0.978226     -9.329467
      3.308375      0.000535     -0.974342     -9.334568
      3.308500      0.000122     -0.970123     -9.338500
      3.308625     -0.000901     -0.967796     -9.339928
      3.308750     -0.000242     -0.964275     -9.344234
      3.308875     -0.000724     -0.960870     -9.347281
      3.309000     -0.000093     -0.957092     -9.351816
      3.309125     -0.000597     -0.953792     -9.354737
      3.309250     -0.000269     -0.950388     -9.358593
      3.309375      0.000445     -0.947266     -9.362554
      3.309500      0.000021     -0.943805     -9.365717
      3.309625     -0.000373     -0.939765     -9.369488
      3.309750      0.000048     -0.936794     -9.373004
      3.309875      0.000138     -0.933798     -9.376215
      3.310000      0.000101     -0.930584     -9.379518
      3.310125     -0.000519     -0.927905     -9.381701
      3.310250     -0.000355     -0.923678     -9.386217
      3.310375      0.000252     -0.920735     -9.389893
      3.310500     -0.000946     -0.917364     -9.392190
      3.310625     -0.000148     -0.914206     -9.396272
      3.310750     -0.001454     -0.911581     -9.397715
      3.310875      0.000933     -0.907332     -9.404477
      3.311000     -0.001170     -0.905146     -9.404684
      3.311125     -0.000400     -0.901155     -9.409570
      3.311250      0.000159     -0.898943     -9.412467
      3.311375      0.000719     -0.894458     -9.417636
      3.311500     -0.000220     -0.891199     -9.420080
      3.311625     -0.000633     -0.889166     -9.421826
      3.311750     -0.000313     -0.885580     -9.425857
      3.311875      0.000512     -0.882541     -9.429846
      3.312000     -0.000874     -0.879573     -9.431553
      3.312125      0.001103     -0.875699     -9.437529
      3.312250      0.000766     -0.874575     -9.438441
      3.312375     -0.000546     -0.872437     -9.439392
      3.312500     -0.000550     -0.867991     -9.443959
      3.312625     -0.000760     -0.863973     -9.447892
      3.312750      0.000841     -0.860899     -9.452691
      3.312875     -0.000599     -0.857695     -9.454580
      3.313000      0.000332     -0.854857     -9.458475
      3.313125      0.000129     -0.851644     -9.461610
      3.313250      0.000025     -0.848580     -9.464695
      3.313375      0.000000     -0.845602     -9.467773
      3.313500      0.000073     -0.842741     -9.470832
      3.313625     -0.000434     -0.840467     -9.472725
      3.313750      0.000079     -0.838065     -9.475764
      3.313875      0.000230     -0.835429     -9.478676
      3.314000     -0.001019     -0.833384     -9.479597
      3.314125     -0.000945     -0.827708     -9.485471
      3.314250     -0.000268     -0.825027     -9.488956
      3.314375     -0.000018     -0.821755     -9.492603
      3.314500     -0.000118     -0.820769     -9.493613
      3.314625     -0.000260     -0.815656     -9.498710
      3.314750      0.000587     -0.814585     -9.500752
      3.314875      0.000718     -0.811535     -9.504058
      3.315000     -0.000020     -0.806752     -9.508228
      3.315125     -0.000478     -0.805859     -9.508789
      3.315250      0.000277     -0.801076     -9.514451
      3.315375      0.000434     -0.798592     -9.517217
      3.315500     -0.000507     -0.798308     -9.516685
      3.315625     -0.000868     -0.795093     -9.519664
      3.315750     -0.000349     -0.792621     -9.522780
      3.315875     -0.000841     -0.789341     -9.525693
      3.316000     -0.000591     -0.784377     -9.531032
      3.316125     -0.000332     -0.783587     -9.532206
      3.316250     -0.000630     -0.780985     -9.534636
      3.316375      0.000436     -0.778062     -9.538748
      3.316500      0.001004     -0.774311     -9.543193
      3.316625     -0.000042     -0.772622     -9.543960
      3.316750     -0.000165     -0.769409     -9.547176
      3.316875      0.000053     -0.766778     -9.550151
      3.317000      0.000084     -0.763986     -9.553098
      3.317125     -0.000272     -0.761603     -9.555250
      3.317250     -0.000264     -0.758467     -9.558519
      3.317375      0.000057     -0.755152     -9.562280
      3.317500     -0.000619     -0.752756     -9.564125
      3.317625     -0.001011     -0.750407     -9.566207
      3.317750     -0.001415     -0.748247     -9.568088
      3.317875      0.000269     -0.744661     -9.573483
      3.318000      0.000525     -0.741683     -9.576842
      3.318125     -0.000540     -0.740087     -9.577498
      3.318250     -0.000729     -0.737339     -9.580183
      3.318375     -0.000499     -0.734680     -9.583196
      3.318500     -0.000257     -0.731909     -9.586333
      3.318625      0.000643     -0.728430     -9.590838
      3.318750      0.000589     -0.725577     -9.593762
      3.318875     -0.000488     -0.724580     -9.593806
      3.319000      0.000013     -0.722235     -9.596778
      3.319125      0.000264     -0.718463     -9.600927
      3.319250     -0.000297     -0.715473     -9.603480
      3.319375     -0.000490     -0.713340     -9.605546
      3.319500      0.001079     -0.710446     -9.610134
      3.319625      0.000527     -0.707867     -9.612285
      3.319750      0.000381     -0.705390     -9.614742
      3.319875     -0.000522     -0.702999     -9.616354
      3.320000      0.000696     -0.700101     -9.620595
      3.320125     -0.000147     -0.699343     -9.620634
      3.320250     -0.000119     -0.696677     -9.623454
      3.320375     -0.000126     -0.693402     -9.626846
      3.320500     -0.000164     -0.691171     -9.629165
      3.320625     -0.000086     -0.687213     -9.633326
      3.320750      0.979430     -0.000446    -11.299734
      3.320875      0.966242     -0.001898    -11.285219
      3.321000      0.967100     -0.000802    -11.287299
      3.321125      0.977056     -0.001612    -11.296569
      3.321250      0.966342     -0.000125    -11.287467
      3.321375      0.954754      0.001442    -11.277571
      3.321500      0.939413      0.002269    -11.263182
      3.321625      0.946042     -0.000194    -11.267473
      3.321750      0.943971     -0.000358    -11.265363
      3.321875      0.922099     -0.000203    -11.243771
      3.322000      0.941207     -0.000213    -11.262993
      3.322125      0.944871     -0.001175    -11.265821
      3.322250      0.939630     -0.000280    -11.261599
      3.322375      0.924271      0.001994    -11.248640
      3.322500      0.927838      0.003268    -11.253606
      3.322625      0.936092      0.002388    -11.261106
      3.322750      0.911595      0.001700    -11.236045
      3.322875      0.920504      0.003719    -11.247098
      3.323000      0.919942      0.000563    -11.243506
      3.323125      0.918491      0.000158    -11.241774
      3.323250      0.910939     -0.000599    -11.233591
      3.323375      0.890959     -0.000240    -11.214094
      3.323500      0.901149     -0.000564    -11.224085
      3.323625      0.894457      0.003940    -11.222023
      3.323750      0.892626      0.000095    -11.216472
      3.323875      0.898673      0.001685    -11.224233
      3.324000      0.875527      0.000118    -11.199645
      3.324125      0.907121      0.002348    -11.233594
      3.324250      0.890288      0.001108    -11.215646
      3.324375      0.881888      0.000769    -11.207032
      3.324500      0.882641     -0.000318    -11.206823
      3.324625      0.858902     -0.002265    -11.181262
      3.324750      0.872697     -0.002713    -11.194735
      3.324875      0.847999      0.002006    -11.174880
      3.325000      0.860897      0.002733    -11.188630
      3.325125      0.858742      0.000691    -11.184559
      3.325250      0.866465     -0.000659    -11.191056
      3.325375      0.843680      0.000408    -11.169463
      3.325500      0.839114     -0.000488    -11.164126
      3.325625      0.845988     -0.000561    -11.171053
      3.325750      0.861574      0.003301    -11.190625
      3.325875      0.838606      0.001472    -11.165953
      3.326000      0.800162     -0.000878    -11.125284
      3.326125      0.782846      0.001722    -11.110693
      3.326250      0.805917     -0.000838    -11.131329
      3.326375      0.811716      0.002827    -11.140919
      3.326500      0.737205     -0.000188    -11.063517
      3.326625      0.000868     -0.006494    -10.320999
      3.326750     -0.000200     -1.705583     -8.620966
      3.326875      0.837201     -0.000460    -11.163616
      3.327000      0.854917      0.002950    -11.184867
      3.327125      0.854377      0.000311    -11.181813
      3.327250      0.850814     -0.001130    -11.176934
      3.327375      0.857876     -0.000652    -11.184599
      3.327500      0.846950     -0.001233    -11.173216
      3.327625      0.813994     -0.001878    -11.139741
      3.327750      0.861288     -0.000010    -11.189028
      3.327875      0.837062     -0.000522    -11.164414
      3.328000      0.833135      0.001045    -11.162180
      3.328125      0.842290      0.001505    -11.171920
      3.328250      0.815536     -0.002014    -11.141772
      3.328375      0.836701     -0.000512    -11.164564
      3.328500      0.821118      0.001620    -11.151238
      3.328625      0.863660      0.001515    -11.193801
      3.328750      0.822425     -0.000555    -11.150620
      3.328875      0.839842      0.001603    -11.170320
      3.329000      0.850918     -0.000283    -11.179635
      3.329125      0.825214     -0.002868    -11.151470
      3.329250      0.829913      0.002161    -11.161324
      3.329375      0.843850      0.000105    -11.173331
      3.329500      0.818983      0.000251    -11.148733
      3.329625      0.797428      0.000048    -11.127102
      3.329750      0.786123     -0.000205    -11.115668
      3.329875      0.824434      0.000228    -11.154537
      3.330000      0.788205      0.003219    -11.121424
      3.330125      0.789206      0.000549    -11.119881
      3.330250      0.820273     -0.001784    -11.148739
      3.330375      0.817077     -0.003736    -11.143716
      3.330500      0.808891      0.001486    -11.140877
      3.330625      0.822216      0.003061    -11.155901
      3.330750      0.793623     -0.005389    -11.118984
      3.330875      0.807794      0.000783    -11.139452
      3.331000      0.810755     -0.001072    -11.140683
      3.331125      0.801531      0.001194    -11.133851
      3.331250      0.817060      0.000094    -11.148404
      3.331375      0.807198      0.000477    -11.139050
      3.331500      0.800426      0.002055    -11.133981
      3.331625      0.798580     -0.000253    -11.129951
      3.331750      0.785727      0.001368    -11.118845
      3.331875      0.781356     -0.000313    -11.112919
      3.332000      0.763244      0.002086    -11.097330
      3.332125      0.773184     -0.001880    -11.103429
      3.332250      0.796294     -0.001789    -11.126755
      3.332375      0.780608     -0.002584    -11.110399
      3.332500      0.759297      0.000284    -11.092081
      3.332625      0.778305     -0.001471    -11.109459
      3.332750      0.792184      0.000134    -11.125068
      3.332875      0.771824     -0.001322    -11.103377
      3.333000      0.754990      0.000377    -11.088367
      3.333125      0.768429      0.002223    -11.103777
      3.333250      0.764709      0.001096    -11.099055
      3.333375      0.746580     -0.002193    -11.077763
      3.333500      0.730998     -0.000258    -11.064240
      3.333625      0.728147      0.001284    -11.063056
      3.333750      0.733642      0.000211    -11.067603
      3.333875      0.731644      0.000340    -11.065860
      3.334000      0.701947     -0.003941    -11.032006
      3.334125      0.744356     -0.002144    -11.076337
      3.334250      0.685970     -0.003182    -11.017038
      3.334375      0.615908     -0.000403    -10.949880
      3.334500     -0.000869     -0.047407    -10.286223
      3.334625      0.664222      0.004784    -11.003631
      3.334750      0.701775     -0.001628    -11.034897
      3.334875      0.711365      0.001526    -11.047766
      3.335000      0.706709      0.000640    -11.042349
      3.335125      0.743786     -0.001347    -11.077564
      3.335250      0.734654      0.000060    -11.069963
      3.335375      0.713543      0.003316    -11.052234
      3.335500      0.724909      0.000804    -11.061213
      3.335625      0.753715      0.001191    -11.090532
      3.335750      0.742609      0.001035    -11.079394
      3.335875      0.759914      0.000608    -11.096398
      3.336000      0.721676     -0.000256    -11.057420
      3.336125      0.731795     -0.000785    -11.067135
      3.336250      0.724520      0.001717    -11.062486
      3.336375      0.740821     -0.000793    -11.076403
      3.336500      0.721968      0.000031    -11.058500
      3.336625      0.706689      0.002264    -11.045578
      3.336750      0.730239      0.001837    -11.068826
      3.336875      0.710526     -0.002022    -11.045380
      3.337000      0.717717     -0.002538    -11.052178
      3.337125      0.694183     -0.001300    -11.030008
      3.337250      0.723032     -0.000662    -11.059619
      3.337375      0.712429      0.000731    -11.050535
      3.337500      0.676760     -0.001297    -11.012963
      3.337625      0.709956      0.000067    -11.047648
      3.337750      0.709972      0.000574    -11.048297
      3.337875      0.695081      0.000449    -11.033406
      3.338000      0.696900     -0.001174    -11.033726
      3.338125      0.692901     -0.000665    -11.030362
      3.338250      0.697507      0.001616    -11.037373
      3.338375      0.712073     -0.001135    -11.049313
      3.338500      0.702903      0.000289    -11.041692
      3.338625      0.722283      0.000580    -11.061488
      3.338750      0.662645     -0.001069    -11.000326
      3.338875      0.696863      0.000343    -11.036081
      3.339000      0.704517     -0.002264    -11.041254
      3.339125      0.659497     -0.000028    -10.998594
      3.339250      0.679879      0.001103    -11.020232
      3.339375      0.660654     -0.000584    -10.999445
      3.339500      0.648333     -0.002744    -10.985088
      3.339625      0.641719     -0.003259    -10.978085
      3.339750      0.654062      0.000478    -10.994290
      3.339875      0.662145     -0.000447    -11.001573
      3.340000      0.607945     -0.002297    -10.945648
      3.340125      0.647411      0.002510    -10.990047
      3.340250      0.631430      0.001258    -10.972938
      3.340375      0.617238      0.001898    -10.959510
      3.340500      0.650406     -0.000210    -10.990696
      3.340625      0.626154     -0.003044    -10.963735
      3.340750      0.614332     -0.004202    -10.950880
      3.340875      0.609314     -0.003169    -10.947020
      3.341000      0.588354     -0.000197    -10.929157
      3.341125      0.587554      0.001583    -10.930262
      3.341250      0.587974      0.002115    -10.931339
      3.341375      0.594666     -0.000868    -10.935172
      3.341500      0.541280      0.002168    -10.884948
      3.341625      0.556642      0.004581    -10.902847
      3.341750      0.517904      0.003610    -10.863264
      3.341875      0.524098      0.000225    -10.866199
      3.342000      0.476867     -0.000003    -10.818864
      3.342125      0.421200     -0.000942    -10.762383
      3.342250      0.308806      0.000639    -10.651696
      3.342375      0.258167      0.002820    -10.603363
      3.342500      0.239608      0.002904    -10.585012
      3.342625     -0.000204     -0.123933    -10.218488
      3.342750      0.209416     -0.002024    -10.550143
      3.342875      0.050796     -0.001257    -10.392414
      3.343000      0.170043     -0.005022    -10.508021
      3.343125      0.102668      0.000383    -10.446176
      3.343250      0.000264     -0.010475    -10.333039
      3.343375      0.001966     -0.058424    -10.286918
      3.343500      0.000704     -0.065811    -10.278393
      3.343625     -0.001174     -0.049598    -10.292853
      3.343750      0.001300     -0.148421    -10.196629
      3.343875     -0.000503     -0.328971    -10.014401
      3.344000      0.001120     -0.960180     -9.384940
      3.344125     -0.000068     -0.293789    -10.050269
      3.344250      0.001472     -0.134859    -10.210863
      3.344375      0.001491     -0.038733    -10.307134
      3.344500      0.001265     -0.016000    -10.329765
      3.344625      0.000231     -0.052754    -10.292102
      3.344750      0.000185     -0.095316    -10.249620
      3.344875      0.000494     -0.142706    -10.202663
      3.345000     -0.000238     -0.196300    -10.148462
      3.345125      0.001143     -0.260843    -10.085425
      3.345250      0.000451     -0.338170    -10.007531
      3.345375     -0.000061     -0.436797     -9.908517
      3.345500     -0.001249     -0.568553     -9.775698
      3.345625      0.000489     -0.767120     -9.578994
      3.345750     -0.000472     -1.140670     -9.204608
      3.345875      0.000024     -1.753538     -8.592361
      3.346000      0.000248     -0.870881     -9.475367
      3.346125      0.001136     -0.532459     -9.814802
      3.346250      0.000206     -0.284826    -10.061629
      3.346375      0.503128     -0.000169    -10.849334
      3.346500      0.000791     -0.274292    -10.072999
      3.346625     -0.000243     -0.273059    -10.073322
      3.346750      0.000557     -0.271151    -10.076156
      3.346875      0.000255     -0.269897    -10.077232
      3.347000     -0.000132     -0.266506    -10.080362
      3.347125      0.000962     -0.264715    -10.083371
      3.347250      0.000597     -0.262877    -10.084969
      3.347375      0.000421     -0.261226    -10.086570
      3.347500     -0.000095     -0.259704    -10.087701
      3.347625      0.000007     -0.258139    -10.089494
      3.347750     -0.000166     -0.256718    -10.090866
      3.347875     -0.000412     -0.255549    -10.091914
      3.348000     -0.000314     -0.254619    -10.093067
      3.348125     -0.000406     -0.253015    -10.094704
      3.348250      0.000173     -0.251498    -10.096925
      3.348375      0.000044     -0.249192    -10.099227
      3.348500     -0.000711     -0.247779    -10.100009
      3.348625     -0.000013     -0.245992    -10.102620
      3.348750      0.000439     -0.244512    -10.104677
      3.348875      0.000765     -0.243677    -10.105963
      3.349000      0.000625     -0.241969    -10.107655
      3.349125      0.000408     -0.240243    -10.109290
      3.349250      0.000127     -0.238681    -10.110696
      3.349375     -0.000054     -0.236678    -10.112643
      3.349500     -0.000125     -0.235636    -10.113739
      3.349625      0.000213     -0.234118    -10.115720
      3.349750      0.000606     -0.232540    -10.117816
      3.349875      0.000846     -0.230960    -10.119762
      3.350000      0.000918     -0.229313    -10.121606
      3.350125      0.000843     -0.227641    -10.123327
      3.350250      0.000637     -0.226036    -10.124850
      3.350375      0.000300     -0.224507    -10.126168
      3.350500     -0.000093     -0.222371    -10.128036
      3.350625      0.000286     -0.220843    -10.130069
      3.350750      0.000415     -0.219354    -10.131811
      3.350875      0.000521     -0.217846    -10.133550
      3.351000      0.000583     -0.216255    -10.135328
      3.351125      0.000567     -0.214544    -10.137148
      3.351250      0.000501     -0.212758    -10.138993
      3.351375      0.000594     -0.211135    -10.140835
      3.351500      0.000861     -0.209716    -10.142645
      3.351625      0.001033     -0.208260    -10.144398
      3.351750      0.001028     -0.206702    -10.146076
      3.351875      0.000866     -0.205078    -10.147663
      3.352000      0.000581     -0.203440    -10.149141
      3.352125      0.000193     -0.201853    -10.150465
      3.352250     -0.000386     -0.200463    -10.151402
      3.352375     -0.000552     -0.199765    -10.152058
      3.352500     -0.000613     -0.198534    -10.153353
      3.352625     -0.000661     -0.197363    -10.154601
      3.352750     -0.000415     -0.195742    -10.156593
      3.352875     -0.000065     -0.194234    -10.158576
      3.353000      0.000181     -0.192792    -10.160388
      3.353125      0.000281     -0.191319    -10.162087
      3.353250      0.000217     -0.189775    -10.163692
      3.353375     -0.000116     -0.188282    -10.164977
      3.353500      0.000190     -0.186882    -10.166808
      3.353625      0.000252     -0.185385    -10.168492
      3.353750      0.000206     -0.183856    -10.170100
      3.353875     -0.000330     -0.182031    -10.171514
      3.354000      0.000355     -0.180562    -10.173792
      3.354125      0.000484     -0.179939    -10.174670
      3.354250      0.000836     -0.177477    -10.177609
      3.354375     -0.000290     -0.175895    -10.178190
      3.354500     -0.000625     -0.176083    -10.177792
      3.354625     -0.000211     -0.174697    -10.179717
      3.354750      0.000016     -0.173405    -10.181361
      3.354875     -0.000125     -0.171259    -10.183491
      3.355000     -0.000224     -0.169721    -10.185055
      3.355125     -0.000491     -0.168112    -10.186522
      3.355250     -0.000756     -0.166536    -10.187959
      3.355375     -0.000894     -0.165072    -10.189409
      3.355500     -0.000845     -0.163718    -10.190937
      3.355625     -0.000683     -0.162263    -10.192679
      3.355750     -0.000552     -0.161461    -10.193737
      3.355875     -0.000593     -0.159795    -10.195487
      3.356000     -0.000553     -0.158158    -10.197289
      3.356125     -0.000242     -0.156798    -10.199086
      3.356250      0.000060     -0.155476    -10.200834
      3.356375      0.000167     -0.154038    -10.202504
      3.356500      0.000100     -0.152524    -10.204076
      3.356625     -0.000081     -0.151009    -10.205534
      3.356750     -0.000322     -0.149575    -10.206853
      3.356875     -0.000592     -0.148307    -10.207975
      3.357000     -0.000889     -0.147334    -10.208777
      3.357125     -0.000876     -0.146289    -10.209960
      3.357250     -0.000341     -0.144778    -10.212131
      3.357375      0.000078     -0.143432    -10.214021
      3.357500      0.000279     -0.142006    -10.215773
      3.357625      0.000322     -0.140445    -10.217502
      3.357750      0.000373     -0.138474    -10.219648
      3.357875      0.000127     -0.137351    -10.220651
      3.358000      0.000006     -0.135942    -10.222065
      3.358125     -0.000032     -0.134531    -10.223562
      3.358250      0.000026     -0.133157    -10.225119
      3.358375      0.000165     -0.131796    -10.226744
      3.358500      0.000330     -0.130381    -10.228450
      3.358625      0.000450     -0.128841    -10.230235
      3.358750      0.000481     -0.127148    -10.232083
      3.358875      0.000535     -0.125445    -10.233965
      3.359000      0.000856     -0.124014    -10.235842
      3.359125      0.001197     -0.122642    -10.237680
      3.359250      0.001351     -0.121150    -10.239451
      3.359375      0.001324     -0.119567    -10.241133
      3.359500      0.001166     -0.117970    -10.242697
      3.359625      0.000923     -0.116445    -10.244103
      3.359750      0.000626     -0.115081    -10.245296
      3.359875      0.000279     -0.113953    -10.246201
      3.360000     -0.000061     -0.113159    -10.246780
      3.360125      0.000030     -0.111877    -10.248279
      3.360250      0.000377     -0.110515    -10.250112
      3.360375      0.000564     -0.109232    -10.251707
      3.360500      0.000573     -0.107886    -10.253187
      3.360625      0.000451     -0.106467    -10.254609
      3.360750      0.000252     -0.105002    -10.256000
      3.360875      0.000026     -0.103529    -10.257372
      3.361000     -0.000171     -0.102088    -10.258741
      3.361125     -0.000284     -0.100716    -10.260125
      3.361250     -0.000285     -0.099415    -10.261550
      3.361375     -0.000212     -0.098119    -10.263044
      3.361500     -0.000150     -0.096726    -10.264625
      3.361625     -0.000174     -0.095166    -10.266285
      3.361750     -0.000231     -0.093525    -10.267993
      3.361875      0.000002     -0.092173    -10.269704
      3.362000      0.000327     -0.090958    -10.271369
      3.362125      0.000442     -0.089616    -10.272951
      3.362250      0.000338     -0.088173    -10.274415
      3.362375     -0.000049     -0.086882    -10.275444
      3.362500     -0.000031     -0.085423    -10.277046
      3.362625     -0.000239     -0.084121    -10.278265
      3.362750     -0.000489     -0.082940    -10.279321
      3.362875     -0.000766     -0.081966    -10.280143
      3.363000     -0.000895     -0.081107    -10.280998
      3.363125     -0.000593     -0.079667    -10.282866
      3.363250     -0.000220     -0.078377    -10.284653
      3.363375      0.000008     -0.077123    -10.286260
      3.363500      0.000092     -0.075820    -10.287771
      3.363625      0.000066     -0.074464    -10.289227
      3.363750     -0.000029     -0.073074    -10.290647
      3.363875     -0.000155     -0.071676    -10.292044
      3.364000     -0.000269     -0.070303    -10.293428
      3.364125     -0.000326     -0.068984    -10.294815
      3.364250     -0.000293     -0.067733    -10.296225
      3.364375     -0.000180     -0.066514    -10.297680
      3.364500     -0.000047     -0.065253    -10.299200
      3.364625      0.000039     -0.063874    -10.300789
      3.364750      0.000036     -0.062353    -10.302433
      3.364875      0.000057     -0.060832    -10.304100
      3.365000      0.000336     -0.059581    -10.305755
      3.365125      0.000648     -0.058407    -10.307366
      3.365250      0.000791     -0.057133    -10.308909
      3.365375      0.000768     -0.055773    -10.310371
      3.365500      0.000628     -0.054385    -10.311743
      3.365625      0.000419     -0.053028    -10.313016
      3.365750      0.000179     -0.051758    -10.314172
      3.365875     -0.000072     -0.050629    -10.315173
      3.366000     -0.000342     -0.049712    -10.315946
      3.366125     -0.000480     -0.049086    -10.316559
      3.366250     -0.000165     -0.047863    -10.318221
      3.366375      0.000215     -0.046628    -10.319963
      3.366500      0.000431     -0.045430    -10.321501
      3.366625      0.000489     -0.044178    -10.322936
      3.366750      0.000433     -0.042865    -10.324318
      3.366875      0.000307     -0.041513    -10.325669
      3.367000      0.000157     -0.040154    -10.327003
      3.367125      0.000031     -0.038823    -10.328334
      3.367250     -0.000020     -0.037550    -10.329679
      3.367375      0.000025     -0.036339    -10.331062
      3.367500      0.000134     -0.035130    -10.332504
      3.367625      0.000229     -0.033834    -10.334020
      3.367750      0.000237     -0.032385    -10.335601
      3.367875      0.000168     -0.030819    -10.337223
      3.368000      0.000293     -0.029448    -10.338845
      3.368125      0.000652     -0.028352    -10.340425
      3.368250      0.000784     -0.027107    -10.341926
      3.368375      0.000710     -0.025751    -10.343334
      3.368500      0.000659     -0.024237    -10.344921
      3.368625      0.000485     -0.022915    -10.346195
      3.368750     -0.000023     -0.021873    -10.346854
      3.368875     -0.000256     -0.020772    -10.347848
      3.369000     -0.000502     -0.019814    -10.348683
      3.369125     -0.000708     -0.019111    -10.349306
      3.369250     -0.000587     -0.018131    -10.350532
      3.369375     -0.000230     -0.016869    -10.352276
      3.369500      0.000046     -0.015721    -10.353824
      3.369625      0.000181     -0.014567    -10.355239
      3.369750      0.000197     -0.013370    -10.356578
      3.369875      0.000127     -0.012134    -10.357868
      3.370000      0.000005     -0.010882    -10.359123
      3.370125     -0.000133     -0.009645    -10.360348
      3.370250     -0.000249     -0.008453    -10.361548
      3.370375     -0.000305     -0.007340    -10.362729
      3.370500     -0.000279     -0.006326    -10.363895
      3.370625     -0.000184     -0.005398    -10.365043
      3.370750     -0.000072     -0.004525    -10.366154
      3.370875      0.000004     -0.003699    -10.367179
      3.371000      0.000008     -0.002959    -10.368049
      3.371125     -0.000027     -0.002403    -10.368695
      3.371250      0.000051     -0.002213    -10.369088
      3.371375      0.000288     -0.002413    -10.369250
      3.371500      0.000518     -0.002791    -10.369227
      3.371625      0.000649     -0.003213    -10.369062
      3.371750      0.000670     -0.003636    -10.368784
      3.371875      0.000571     -0.004034    -10.368412
      3.372000     -0.000946     -0.003098    -10.367956
      3.372125      0.000640     -0.005342    -10.367423
      3.372250     -0.001911     -0.003510    -10.366829
      3.372375     -0.000121     -0.006098    -10.366157
      3.372500     -0.000221     -0.006787    -10.365492
      3.372625     -0.000347     -0.007474    -10.364804
      3.372750     -0.000494     -0.008225    -10.364031
      3.372875     -0.000645     -0.009084    -10.363146
      3.373000     -0.000731     -0.010034    -10.362235
      3.373125     -0.000646     -0.010725    -10.361754
      3.373250     -0.000421     -0.011247    -10.361582
      3.373375     -0.000180     -0.011851    -10.361343
      3.373500      0.000010     -0.012500    -10.361011
      3.373625      0.000131     -0.013151    -10.360605
      3.373750      0.000133     -0.013745    -10.360138
      3.373875      0.000137     -0.014382    -10.359630
      3.374000      0.000155     -0.014938    -10.359217
      3.374125      0.000165     -0.015479    -10.358811
      3.374250      0.000131     -0.016006    -10.358375
