    #parametro     lambda_01     lambda_02     lambda_03
      2.543000      2.363962      0.000034    -11.906996
      2.543125      2.302875      0.001121    -11.847120
      2.543250      2.308074     -0.000218    -11.851106
      2.543375      2.308910      0.000354    -11.852639
      2.543500      2.350228      0.001109    -11.894837
      2.543625      2.338092      0.001867    -11.883584
      2.543750      2.335917      0.000120    -11.879787
      2.543875      2.313022      0.003993    -11.860890
      2.544000      2.361309      0.000309    -11.905618
      2.544125      2.288343      0.000261    -11.832729
      2.544250      2.367776     -0.000281    -11.911745
      2.544375      2.313823     -0.001845    -11.856353
      2.544500      2.325773     -0.000409    -11.869864
      2.544625      2.324491     -0.001667    -11.867449
      2.544750      2.374287     -0.003610    -11.915428
      2.544875      2.302245      0.000433    -11.847553
      2.545000      2.345682      0.000480    -11.891162
      2.545125      2.331906     -0.001363    -11.875668
      2.545250      2.319053      0.000028    -11.864331
      2.545375      2.316279     -0.000136    -11.861518
      2.545500      2.356398      0.000684    -11.902582
      2.545625      2.355979     -0.000494    -11.901110
      2.545750      2.306398      0.000947    -11.853095
      2.545875      2.328922      0.000164    -11.874961
      2.546000      2.354440      0.002186    -11.902626
      2.546125      2.319281      0.000468    -11.865874
      2.546250      2.317239     -0.001974    -11.861516
      2.546375      2.374426     -0.001455    -11.919346
      2.546500      2.387479     -0.000754    -11.933226
      2.546625      2.344194     -0.000845    -11.889974
      2.546750      2.375614      0.000306    -11.922670
      2.546875      2.342883     -0.000485    -11.889273
      2.547000      2.287429      0.001434    -11.835863
      2.547125      2.319884     -0.000725    -11.866285
      2.547250      2.318919     -0.003209    -11.862959
      2.547375      2.339548     -0.000353    -11.886570
      2.547500      2.348519      0.000257    -11.896276
      2.547625      2.325661     -0.000151    -11.873136
      2.547750      2.340079     -0.000528    -11.887301
      2.547875      2.330539     -0.001854    -11.876560
      2.548000      2.314339      0.000582    -11.862921
      2.548125      2.367571      0.000010    -11.915706
      2.548250      2.380776     -0.000052    -11.928975
      2.548375      2.370547      0.002381    -11.921302
      2.548500      2.357686     -0.000183    -11.906003
      2.548625      2.296314      0.001100    -11.846040
      2.548750      2.315667     -0.000536    -11.863881
      2.548875      2.364684      0.001542    -11.915101
      2.549000      2.345386      0.001162    -11.895548
      2.549125      2.264222      0.002943    -11.816290
      2.549250      2.236685     -0.002607    -11.783328
      2.549375      2.287019      0.000092    -11.836486
      2.549500      2.361413      0.000544    -11.911457
      2.549625      2.270875      0.000904    -11.821404
      2.549750      2.325919      0.001714    -11.877383
      2.549875      2.312319      0.003302    -11.865496
      2.550000      2.336478     -0.001108    -11.885370
      2.550125      2.309426     -0.001016    -11.858535
      2.550250      2.299738     -0.000680    -11.849307
      2.550375      2.313115     -0.000009    -11.863481
      2.550500      2.327254     -0.002815    -11.874939
      2.550625      2.300495     -0.000385    -11.850735
      2.550750      2.333164     -0.000662    -11.883252
      2.550875      2.308144      0.001698    -11.860717
      2.551000      2.303672     -0.002281    -11.852392
      2.551125      2.317440      0.000998    -11.869562
      2.551250      2.349322     -0.000348    -11.900224
      2.551375      2.351260      0.001324    -11.903959
      2.551500      2.276879      0.002616    -11.830995
      2.551625      2.285106      0.000780    -11.837511
      2.551750      2.275654     -0.001229    -11.826174
      2.551875      2.346230     -0.000416    -11.897688
      2.552000      2.309192      0.002226    -11.863418
      2.552125      2.278228     -0.001471    -11.828882
      2.552250      2.283505     -0.001763    -11.833992
      2.552375      2.367811     -0.000495    -11.919691
      2.552500      2.307518      0.000015    -11.860033
      2.552625      2.333661     -0.001934    -11.884352
      2.552750      2.283978      0.001787    -11.838516
      2.552875      2.260968      0.001614    -11.815457
      2.553000      2.303607      0.000940    -11.857547
      2.553125      2.313116     -0.001401    -11.864840
      2.553250      2.307812     -0.001259    -11.859803
      2.553375      2.313095      0.000766    -11.867236
      2.553500      2.327061      0.000353    -11.880914
      2.553625      2.295810      0.000198    -11.849633
      2.553750      2.285141      0.003102    -11.841993
      2.553875      2.337321      0.001271    -11.892467
      2.554000      2.346862      0.000947    -11.901809
      2.554125      2.233331     -0.000535    -11.786921
      2.554250      2.278092     -0.001427    -11.830916
      2.554375      2.317012     -0.000129    -11.871258
      2.554500      2.291156      0.000969    -11.846625
      2.554625      2.306812      0.000215    -11.861652
      2.554750      2.300383     -0.000494    -11.854639
      2.554875      2.286087     -0.000590    -11.840372
      2.555000      2.315149     -0.001966    -11.868183
      2.555125      2.303907     -0.001498    -11.857534
      2.555250      2.296909     -0.000221    -11.851938
      2.555375      2.304320     -0.000194    -11.859501
      2.555500      2.254855     -0.000236    -11.810120
      2.555625      2.288879     -0.000862    -11.843642
      2.555750      2.286998      0.001367    -11.844115
      2.555875      2.296542      0.001988    -11.854406
      2.556000      2.299040     -0.000770    -11.854269
      2.556125      2.336210      0.000614    -11.892950
      2.556250      2.264980     -0.001722    -11.819508
      2.556375      2.281155     -0.002809    -11.834721
      2.556500      2.293867      0.000715    -11.851082
      2.556625      2.274520      0.001425    -11.832570
      2.556750      2.270429      0.000780    -11.827959
      2.556875      2.301570      0.000053    -11.858498
      2.557000      2.244057     -0.002142    -11.798914
      2.557125      2.235222      0.002027    -11.794375
      2.557250      2.219171      0.001704    -11.778125
      2.557375      2.246402     -0.000339    -11.803439
      2.557500      2.236844      0.000311    -11.794654
      2.557625      2.260374     -0.000578    -11.817421
      2.557750      2.290519      0.000911    -11.849181
      2.557875      2.211524      0.000134    -11.769533
      2.558000      2.253963      0.001053    -11.813016
      2.558125      2.282518     -0.001906    -11.838736
      2.558250      2.210464     -0.001730    -11.766983
      2.558375      2.243486     -0.001232    -11.800630
      2.558500      2.233403      0.002670    -11.794573
      2.558625      2.266387      0.000033    -11.825045
      2.558750      2.262736     -0.000748    -11.820738
      2.558875      2.285425      0.001759    -11.846059
      2.559000      2.233263      0.001087    -11.793350
      2.559125      2.307218     -0.000095    -11.866248
      2.559250      2.241466     -0.000915    -11.799801
      2.559375      2.304005      0.002352    -11.865732
      2.559500      2.294798     -0.000586    -11.853713
      2.559625      2.306986     -0.000712    -11.865899
      2.559750      2.314995     -0.000847    -11.873898
      2.559875      2.261472      0.002586    -11.823933
      2.560000      2.229859      0.002697    -11.792556
      2.560125      2.284984      0.000918    -11.846027
      2.560250      2.245448      0.000324    -11.806023
      2.560375      2.264956      0.000821    -11.826152
      2.560500      2.276679     -0.004721    -11.832458
      2.560625      2.246585     -0.000665    -11.806545
      2.560750      2.310683     -0.002419    -11.869015
      2.560875      2.265497     -0.000580    -11.825792
      2.561000      2.227183     -0.000892    -11.787291
      2.561125      2.274526     -0.001926    -11.833726
      2.561250      2.211346      0.000399    -11.772995
      2.561375      2.225567     -0.000084    -11.786858
      2.561500      2.230186      0.000387    -11.792073
